pl_name,A AÑOS LUZ DE LA TIERRA,Valor_masa_multiplicador,MAGNITUD ESTELAR,mj_mt,FECHA DE DESCUBRIMIENTO,Tipo_planeta
Kepler-1521 b,675,6.8,13.049,1,2016,Tipo Neptuno
Kepler-1524 b,1245,12.3,12.802,1,2016,Tipo Neptuno
Kepler-1526 b,1812,6.48,15.935,1,2016,Tipo Neptuno
Kepler-1527 b,6009,20.4,15.161,1,2016,Tipo Neptuno
Kepler-1529 b,2156,5.06,15.297,1,2016,Tipo Neptuno
Kepler-152 b,1439,8.2,14.379,1,2014,Tipo Neptuno
Kepler-152 c,1439,6.3,14.379,1,2014,Tipo Neptuno
Kepler-1533 b,3154,11.8,13.289,1,2016,Tipo Neptuno
Kepler-1535 b,2928,7.04,14.385,1,2016,Tipo Neptuno
Kepler-1536 b,1263,10,15.464,1,2016,Tipo Neptuno
Kepler-1538 b,3671,8.35,15.551,1,2016,Tipo Neptuno
Kepler-1539 b,2441,7.75,15.487,1,2016,Tipo Neptuno
Kepler-153 b,1498,8.85,14.388,1,2014,Tipo Neptuno
Kepler-153 c,1498,6.94,14.388,1,2014,Tipo Neptuno
Kepler-1540 b,799,6.76,14.429,1,2016,Tipo Neptuno
Kepler-1543 b,3007,7.8,13.495,1,2016,Tipo Neptuno
Kepler-1545 b,2381,7.75,15.256,1,2016,Tipo Neptuno
Kepler-1546 b,3040,9.96,15.596,1,2016,Tipo Neptuno
Kepler-1548 b,2845,7.46,15.324,1,2016,Tipo Neptuno
Kepler-1549 b,2620,7.13,15.353,1,2016,Tipo Neptuno
Kepler-154 b,2985,5.73,14.646,1,2014,Tipo Neptuno
Kepler-154 c,2985,9.01,14.646,1,2014,Tipo Neptuno
Kepler-154 d,2985,14.1,14.646,1,2016,Tipo Neptuno
Kepler-1550 b,3846,9.38,15.107,1,2016,Tipo Neptuno
Kepler-1551 b,4775,7.56,15.371,1,2016,Tipo Neptuno
Kepler-1552 b,2509,6.66,15.203,1,2016,Tipo Neptuno
Kepler-1554 b,3089,8.75,15.93,1,2016,Tipo Neptuno
Kepler-155 c,957,5.65,14.654,1,2014,Tipo Neptuno
Kepler-1562 b,6722,12.3,15.303,1,2016,Tipo Neptuno
Kepler-1567 b,3934,7.9,15.92,1,2016,Tipo Neptuno
Kepler-156 b,1447,5.9,14.339,1,2014,Tipo Neptuno
Kepler-156 c,1447,7.04,14.339,1,2014,Tipo Neptuno
Kepler-157 c,2524,5.65,14.206,1,2014,Tipo Neptuno
Kepler-1580 b,3269,5.1,12.635,1,2016,Tipo Neptuno
Kepler-158 b,1028,5.14,14.743,1,2014,Tipo Neptuno
Kepler-1593 b,2082,10.2,16.19,1,2016,Tipo Neptuno
Kepler-159 b,1219,6.26,15.386,1,2014,Tipo Neptuno
Kepler-159 c,1219,11.5,15.386,1,2014,Tipo Neptuno
Kepler-1600 b,3363,9.96,16.076,1,2016,Tipo Neptuno
Kepler-1609 b,5957,5.56,15.159,1,2016,Tipo Neptuno
Kepler-160 c,3057,13.6,14.816,1,2014,Tipo Neptuno
Kepler-1621 b,5322,5.31,15.151,1,2016,Tipo Neptuno
Kepler-1624 b,845,27.6,16.597,1,2016,Tipo Neptuno
Kepler-1625 b,7536,30.6,16.227,1,2016,Tipo Neptuno
Kepler-1627 b,1035,13.2,13.111,1,2016,Tipo Neptuno
Kepler-1628 b,1148,33.8,178.298,1,2016,Tipo Neptuno
Kepler-162 c,2791,9.43,14.351,1,2014,Tipo Neptuno
Kepler-1630 b,1080,5.43,14.278,1,2016,Tipo Neptuno
Kepler-1632 b,2338,6.66,13.22,1,2016,Tipo Neptuno
Kepler-1634 b,2014,10.3,14.636,1,2016,Tipo Neptuno
Kepler-1635 b,3489,12.9,15.82,1,2016,Tipo Neptuno
Kepler-1636 b,6353,10.5,15.807,1,2016,Tipo Neptuno
Kepler-1639 b,3364,7.18,14.593,1,2016,Tipo Neptuno
Kepler-163 c,2250,5.73,14.467,1,2014,Tipo Neptuno
Kepler-1640 b,6067,20.7,14.754,1,2016,Tipo Neptuno
Kepler-1641 b,2807,9.85,14.49,1,2016,Tipo Neptuno
Kepler-1641 c,2807,9.01,14.49,1,2016,Tipo Neptuno
Kepler-1642 b,1350,10.3,14.319,1,2016,Tipo Neptuno
Kepler-1642 c,1350,7.56,14.319,1,2016,Tipo Neptuno
Kepler-1643 b,1115,5.9,14.072,1,2016,Tipo Neptuno
Kepler-164 c,2906,7.9,14.379,1,2014,Tipo Neptuno
Kepler-164 d,2906,6.57,14.379,1,2014,Tipo Neptuno
Kepler-1653 b,2463,5.35,15.864,1,2017,Tipo Neptuno
Kepler-1655 b,696,5,11.045,1,2018,Tipo Neptuno
Kepler-165 b,1830,5.99,15.05,1,2014,Tipo Neptuno
Kepler-165 c,1830,5.6,15.05,1,2014,Tipo Neptuno
Kepler-1661 b,1339,17,14.357,1,2020,Tipo Neptuno
Kepler-1663 b,1102,10.9,16.069,1,2020,Tipo Neptuno
Kepler-1664 b,2044,9.45,13.621,1,2020,Tipo Neptuno
Kepler-1665 b,1094,8.44,13.737,1,2020,Tipo Neptuno
Kepler-1666 b,4500,8.66,15.104,1,2020,Tipo Neptuno
Kepler-1666 c,4500,10.5,15.104,1,2020,Tipo Neptuno
Kepler-1667 b,2045,9.19,13.52,1,2020,Tipo Neptuno
Kepler-1668 b,4357,17.4,15.792,1,2020,Tipo Neptuno
Kepler-1669 b,1773,8.15,16.473,1,2020,Tipo Neptuno
Kepler-166 b,1969,5.77,14.857,1,2014,Tipo Neptuno
Kepler-166 c,1969,6.26,14.857,1,2014,Tipo Neptuno
Kepler-1670 b,6739,11.2,15.743,1,2020,Tipo Neptuno
Kepler-1672 b,1276,9.11,12.548,1,2020,Tipo Neptuno
Kepler-1673 b,2372,8.93,13.783,1,2020,Tipo Neptuno
Kepler-1674 b,3303,10.4,15.697,1,2020,Tipo Neptuno
Kepler-1675 b,2124,9.93,13.672,1,2020,Tipo Neptuno
Kepler-1676 b,,11.3,13.485,1,2020,Tipo Neptuno
Kepler-1677 b,2399,7.76,13.806,1,2020,Tipo Neptuno
Kepler-1678 b,2764,10.9,15.02,1,2020,Tipo Neptuno
Kepler-1681 b,2474,7.05,14.646,1,2020,Tipo Neptuno
Kepler-1682 b,3783,8.7,15.907,1,2020,Tipo Neptuno
Kepler-1684 b,2029,8.6,15.951,1,2020,Tipo Neptuno
Kepler-1685 b,3725,7.16,16.096,1,2020,Tipo Neptuno
Kepler-168 c,4383,7.7,14.842,1,2014,Tipo Neptuno
Kepler-1690 b,2296,8.3,14.882,1,2020,Tipo Neptuno
Kepler-1696 b,4914,8.29,15.505,1,2020,Tipo Neptuno
Kepler-169 e,1326,5.48,14.424,1,2014,Tipo Neptuno
Kepler-169 f,1326,7.18,14.424,1,2014,Tipo Neptuno
Kepler-1700 b,2341,8.76,13.764,1,2020,Tipo Neptuno
Kepler-1701 b,1905,5.57,14.722,1,2020,Tipo Neptuno
Kepler-170 c,2409,8.55,14.344,1,2014,Tipo Neptuno
Kepler-171 b,2818,6.08,15.101,1,2014,Tipo Neptuno
Kepler-171 c,2818,7.08,15.101,1,2014,Tipo Neptuno
Kepler-172 b,2703,6.12,14.703,1,2014,Tipo Neptuno
Kepler-172 c,2703,8.55,14.703,1,2014,Tipo Neptuno
Kepler-172 d,2703,5.69,14.703,1,2014,Tipo Neptuno
Kepler-172 e,2703,8.05,14.703,1,2014,Tipo Neptuno
Kepler-173 c,2718,6.48,14.357,1,2014,Tipo Neptuno
Kepler-174 d,1255,5.43,14.53,1,2014,Tipo Neptuno
Kepler-175 b,4281,7.08,15.225,1,2014,Tipo Neptuno
Kepler-175 c,4281,9.8,15.225,1,2014,Tipo Neptuno
Kepler-176 c,1720,23,14.767,1,2014,Tipo Neptuno
Kepler-177 b,4682,5.84,15.171,1,2013,Tipo Neptuno
Kepler-177 c,4682,14.7,15.171,1,2013,Tipo Neptuno
Kepler-178 b,2336,8.75,14.876,1,2014,Tipo Neptuno
Kepler-178 c,2336,8.65,14.876,1,2014,Tipo Neptuno
Kepler-178 d,2336,14.8,14.876,1,2014,Tipo Neptuno
Kepler-180 c,2269,9.32,14.488,1,2014,Tipo Neptuno
Kepler-182 b,5053,7.18,14.942,1,2014,Tipo Neptuno
Kepler-182 c,5053,11.6,14.942,1,2014,Tipo Neptuno
Kepler-184 b,1991,6.17,14.42,1,2014,Tipo Neptuno
Kepler-184 d,1991,6.76,14.42,1,2014,Tipo Neptuno
Kepler-187 c,3728,7.61,14.297,1,2014,Tipo Neptuno
Kepler-188 c,3159,10.3,14.719,1,2014,Tipo Neptuno
Kepler-18 c,1413,17.3,13.771,1,2011,Tipo Neptuno
Kepler-18 d,1413,16.4,13.771,1,2011,Tipo Neptuno
Kepler-191 d,1939,5.82,14.987,1,2016,Tipo Neptuno
Kepler-192 b,2126,7.95,14.308,1,2014,Tipo Neptuno
Kepler-192 c,2126,8.2,14.308,1,2014,Tipo Neptuno
Kepler-193 b,3292,6.3,14.712,1,2014,Tipo Neptuno
Kepler-193 c,3292,8,14.712,1,2014,Tipo Neptuno
Kepler-194 c,3582,7.22,14.969,1,2014,Tipo Neptuno
Kepler-194 d,3582,6.35,14.969,1,2014,Tipo Neptuno
Kepler-196 c,1472,5.65,14.239,1,2014,Tipo Neptuno
Kepler-198 b,1616,8.35,13.684,1,2014,Tipo Neptuno
Kepler-198 c,1616,6.66,13.684,1,2014,Tipo Neptuno
Kepler-199 b,1700,9.85,13.796,1,2014,Tipo Neptuno
Kepler-199 c,1700,10.6,13.796,1,2014,Tipo Neptuno
Kepler-19 c,713,13.1,12.035,1,2011,Tipo Neptuno
Kepler-19 d,713,22.5,12.035,1,2017,Tipo Neptuno
Kepler-200 b,2172,5.18,13.932,1,2014,Tipo Neptuno
Kepler-201 b,2076,6.62,12.991,1,2014,Tipo Neptuno
Kepler-201 c,2076,8.5,12.991,1,2014,Tipo Neptuno
Kepler-203 b,2294,7.13,14.14,1,2014,Tipo Neptuno
Kepler-204 b,2240,6.94,13.977,1,2014,Tipo Neptuno
Kepler-207 d,2856,11,13.164,1,2014,Tipo Neptuno
Kepler-209 b,1882,5.73,14.132,1,2014,Tipo Neptuno
Kepler-209 c,1882,9.8,14.132,1,2014,Tipo Neptuno
Kepler-20 c,922,12.75,12.61,1,2011,Tipo Neptuno
Kepler-20 d,922,10.07,12.61,1,2011,Tipo Neptuno
Kepler-20 g,922,19.96,12.61,1,2016,Tipo Neptuno
Kepler-210 b,759,8.96,14.126,1,2014,Tipo Neptuno
Kepler-210 c,759,12.8,14.126,1,2014,Tipo Neptuno
Kepler-212 c,2242,7.95,13.129,1,2014,Tipo Neptuno
Kepler-213 c,2071,6.08,13.705,1,2014,Tipo Neptuno
Kepler-214 b,3942,7.32,14.057,1,2014,Tipo Neptuno
Kepler-214 c,3942,5.18,14.057,1,2014,Tipo Neptuno
Kepler-216 b,3874,6.12,14.054,1,2014,Tipo Neptuno
Kepler-216 c,3874,9.48,14.054,1,2014,Tipo Neptuno
Kepler-217 b,3603,5.6,13.155,1,2014,Tipo Neptuno
Kepler-218 c,2141,10,14.035,1,2014,Tipo Neptuno
Kepler-218 d,2141,7.56,14.035,1,2016,Tipo Neptuno
Kepler-219 b,2567,9.01,13.823,1,2014,Tipo Neptuno
Kepler-219 c,2567,12.5,13.823,1,2014,Tipo Neptuno
Kepler-221 d,1257,7.9,13.97,1,2014,Tipo Neptuno
Kepler-221 e,1257,7.41,13.97,1,2014,Tipo Neptuno
Kepler-222 b,2475,10.1,15.407,1,2014,Tipo Neptuno
Kepler-222 c,2475,19.4,15.407,1,2014,Tipo Neptuno
Kepler-222 d,2475,13.2,15.407,1,2014,Tipo Neptuno
Kepler-223 b,6066,7.4,15.69,1,2014,Tipo Neptuno
Kepler-223 c,6066,5.1,15.69,1,2014,Tipo Neptuno
Kepler-223 d,6066,8,15.69,1,2014,Tipo Neptuno
Kepler-223 e,6066,4.8,15.69,1,2014,Tipo Neptuno
Kepler-224 c,2551,9.91,15.801,1,2014,Tipo Neptuno
Kepler-224 d,2551,5.9,15.801,1,2014,Tipo Neptuno
Kepler-227 b,3533,9.85,15.623,1,2014,Tipo Neptuno
Kepler-227 c,3533,9.48,15.623,1,2014,Tipo Neptuno
Kepler-228 c,5365,7.75,15.902,1,2014,Tipo Neptuno
Kepler-228 d,5365,15.4,15.902,1,2014,Tipo Neptuno
Kepler-229 b,2695,5.48,16.22,1,2014,Tipo Neptuno
Kepler-229 c,2695,21.5,16.22,1,2014,Tipo Neptuno
Kepler-229 d,2695,14.2,16.22,1,2014,Tipo Neptuno
Kepler-230 b,2416,16.8,15.264,1,2014,Tipo Neptuno
Kepler-232 b,4401,9.69,15.565,1,2014,Tipo Neptuno
Kepler-232 c,4401,14,15.565,1,2014,Tipo Neptuno
Kepler-233 b,2794,6.48,15.477,1,2014,Tipo Neptuno
Kepler-233 c,2794,7.8,15.477,1,2014,Tipo Neptuno
Kepler-234 b,5653,13.2,15.747,1,2014,Tipo Neptuno
Kepler-234 c,5653,12.1,15.747,1,2014,Tipo Neptuno
Kepler-235 b,1396,5.6,16.567,1,2014,Tipo Neptuno
Kepler-235 e,1396,5.56,16.567,1,2014,Tipo Neptuno
Kepler-238 c,5868,6.3,15.297,1,2014,Tipo Neptuno
Kepler-238 d,5868,9.64,15.297,1,2014,Tipo Neptuno
Kepler-238 e,5868,0.534,15.297,317.83,2013,Tipo Neptuno
Kepler-239 b,2114,6.04,15.252,1,2014,Tipo Neptuno
Kepler-239 c,2114,6.85,15.252,1,2014,Tipo Neptuno
Kepler-23 b,2726,0.8,13.567,317.83,2011,Tipo Neptuno
Kepler-23 c,2726,2.7,13.567,317.83,2011,Tipo Neptuno
Kepler-241 b,1670,6.04,15.708,1,2014,Tipo Neptuno
Kepler-241 c,1670,7.13,15.708,1,2014,Tipo Neptuno
Kepler-242 b,1958,7.32,15.489,1,2014,Tipo Neptuno
Kepler-243 b,2263,6.57,15.159,1,2014,Tipo Neptuno
Kepler-244 b,3381,8.05,15.747,1,2014,Tipo Neptuno
Kepler-245 b,2810,7.13,15.546,1,2014,Tipo Neptuno
Kepler-245 d,2810,21.6,15.546,1,2014,Tipo Neptuno
Kepler-246 b,2042,6.08,15.197,1,2014,Tipo Neptuno
Kepler-247 c,2165,15.7,15.199,1,2014,Tipo Neptuno
Kepler-247 d,2165,14.7,15.199,1,2014,Tipo Neptuno
Kepler-248 b,2410,9.38,15.506,1,2014,Tipo Neptuno
Kepler-248 c,2410,15.6,15.506,1,2014,Tipo Neptuno
Kepler-24 b,3774,1.6,15.04,317.83,2011,Tipo Neptuno
Kepler-24 c,3774,1.6,15.04,317.83,2011,Tipo Neptuno
Kepler-24 e,3774,8.15,15.04,1,2014,Tipo Neptuno
Kepler-250 c,2481,5.82,15.819,1,2014,Tipo Neptuno
Kepler-250 d,2481,5.39,15.819,1,2014,Tipo Neptuno
Kepler-251 c,3016,8.1,15.541,1,2014,Tipo Neptuno
Kepler-251 d,3016,8.1,15.541,1,2014,Tipo Neptuno
Kepler-251 e,3016,8.1,15.541,1,2014,Tipo Neptuno
Kepler-252 c,1238,5.27,15.406,1,2014,Tipo Neptuno
Kepler-253 c,2735,7.51,15.778,1,2014,Tipo Neptuno
Kepler-253 d,2735,10.2,15.778,1,2014,Tipo Neptuno
Kepler-254 b,4532,14.3,16.012,1,2014,Tipo Neptuno
Kepler-254 c,4532,3.2,16.012,1,2014,Tipo Neptuno
Kepler-254 d,4532,6.8,16.012,1,2014,Tipo Neptuno
Kepler-255 c,3433,9.22,15.699,1,2014,Tipo Neptuno
Kepler-256 c,3348,5.27,15.178,1,2014,Tipo Neptuno
Kepler-256 d,3348,6.71,15.178,1,2014,Tipo Neptuno
Kepler-256 e,3348,6.12,15.178,1,2014,Tipo Neptuno
Kepler-257 b,2545,7.32,15.652,1,2014,Tipo Neptuno
Kepler-257 c,2545,25.2,15.652,1,2014,Tipo Neptuno
Kepler-257 d,2545,21.7,15.652,1,2014,Tipo Neptuno
Kepler-258 b,1879,15.5,15.49,1,2014,Tipo Neptuno
Kepler-258 c,1879,12.7,15.49,1,2014,Tipo Neptuno
Kepler-259 b,3269,8.25,15.378,1,2014,Tipo Neptuno
Kepler-259 c,3269,7.75,15.378,1,2014,Tipo Neptuno
Kepler-25 b,793,8.7,10.769,1,2011,Tipo Neptuno
Kepler-25 c,793,15.2,10.769,1,2011,Tipo Neptuno
Kepler-261 b,1036,5.39,13.738,1,2014,Tipo Neptuno
Kepler-263 b,2462,7.61,15.435,1,2014,Tipo Neptuno
Kepler-263 c,2462,6.66,15.435,1,2014,Tipo Neptuno
Kepler-264 b,3073,11.1,13.15,1,2014,Tipo Neptuno
Kepler-264 c,3073,8.4,13.15,1,2014,Tipo Neptuno
Kepler-265 c,4176,7.41,15.47,1,2014,Tipo Neptuno
Kepler-265 d,4176,6.76,15.47,1,2014,Tipo Neptuno
Kepler-265 e,4176,7.22,15.47,1,2014,Tipo Neptuno
Kepler-266 b,4472,6.71,15.787,1,2014,Tipo Neptuno
Kepler-266 c,4472,14.4,15.787,1,2014,Tipo Neptuno
Kepler-267 c,864,5.18,16.69,1,2014,Tipo Neptuno
Kepler-267 d,864,5.77,16.69,1,2014,Tipo Neptuno
Kepler-268 b,2779,7.04,13.844,1,2014,Tipo Neptuno
Kepler-268 c,2779,11.4,13.844,1,2014,Tipo Neptuno
Kepler-269 b,7363,6.66,15.646,1,2014,Tipo Neptuno
Kepler-26 b,1094,5.12,15.853,1,2011,Tipo Neptuno
Kepler-26 c,1094,6.2,15.853,1,2011,Tipo Neptuno
Kepler-26 e,1094,6.39,15.853,1,2014,Tipo Neptuno
Kepler-272 d,2902,5.69,14.811,1,2014,Tipo Neptuno
Kepler-275 b,6636,6.08,15.289,1,2014,Tipo Neptuno
Kepler-275 c,6636,11.4,15.289,1,2014,Tipo Neptuno
Kepler-275 d,6636,11.1,15.289,1,2014,Tipo Neptuno
Kepler-276 b,3735,8.6,15.481,1,2014,Tipo Neptuno
Kepler-278 b,1445,15.6,11.811,1,2014,Tipo Neptuno
Kepler-278 c,1445,12.6,11.811,1,2014,Tipo Neptuno
Kepler-279 b,3384,12.8,13.647,1,2014,Tipo Neptuno
Kepler-279 d,3384,37.5,13.647,1,2013,Tipo Neptuno
Kepler-281 b,5694,8.35,15.931,1,2014,Tipo Neptuno
Kepler-281 c,5694,24.4,15.931,1,2014,Tipo Neptuno
Kepler-283 b,1527,5.18,16.216,1,2014,Tipo Neptuno
Kepler-284 b,3366,5.65,15.944,1,2014,Tipo Neptuno
Kepler-284 c,3366,7.32,15.944,1,2014,Tipo Neptuno
Kepler-287 b,2727,6.04,14.952,1,2014,Tipo Neptuno
Kepler-287 c,2727,10.7,14.952,1,2014,Tipo Neptuno
Kepler-288 c,3895,8.5,15.283,1,2014,Tipo Neptuno
Kepler-288 d,3895,7.61,15.283,1,2014,Tipo Neptuno
Kepler-289 d,2298,4,14.142,1,2014,Tipo Neptuno
Kepler-28 b,1430,1.51,15.13,1,2011,Tipo Neptuno
Kepler-28 c,1430,1.36,15.13,1,2011,Tipo Neptuno
Kepler-290 b,2266,5.69,15.775,1,2014,Tipo Neptuno
Kepler-290 c,2266,7.75,15.775,1,2014,Tipo Neptuno
Kepler-291 b,5827,5.31,16.218,1,2014,Tipo Neptuno
Kepler-292 d,3446,5.6,16.303,1,2014,Tipo Neptuno
Kepler-292 e,3446,7.61,16.303,1,2014,Tipo Neptuno
Kepler-292 f,3446,6.12,16.303,1,2014,Tipo Neptuno
Kepler-293 b,3179,9.64,15.452,1,2014,Tipo Neptuno
Kepler-293 c,3179,14,15.452,1,2014,Tipo Neptuno
Kepler-294 c,4427,7.8,15.948,1,2014,Tipo Neptuno
Kepler-296 c,545,4.66,16.363,1,2014,Tipo Neptuno
Kepler-296 d,545,5.02,16.363,1,2014,Tipo Neptuno
Kepler-298 d,1690,6.8,15.617,1,2014,Tipo Neptuno
Kepler-299 c,3432,7.51,15.232,1,2014,Tipo Neptuno
Kepler-29 b,2716,5,15.547,1,2011,Tipo Neptuno
Kepler-29 c,2716,4.5,15.547,1,2011,Tipo Neptuno
Kepler-300 c,3583,5.69,14.25,1,2014,Tipo Neptuno
Kepler-302 b,4575,15.5,15.694,1,2014,Tipo Neptuno
Kepler-304 b,1418,8.55,15.065,1,2014,Tipo Neptuno
Kepler-304 c,1418,5.35,15.065,1,2014,Tipo Neptuno
Kepler-304 d,1418,8,15.065,1,2014,Tipo Neptuno
Kepler-305 b,2833,10.5,15.851,1,2013,Tipo Neptuno
Kepler-305 c,2833,6,15.851,1,2013,Tipo Neptuno
Kepler-305 d,2833,9.1,15.851,1,2014,Tipo Neptuno
Kepler-306 c,2530,6.12,15.575,1,2014,Tipo Neptuno
Kepler-306 d,2530,6.66,15.575,1,2014,Tipo Neptuno
Kepler-306 e,2530,5.77,15.575,1,2014,Tipo Neptuno
Kepler-307 b,1878,7.44,14.149,1,2013,Tipo Neptuno
Kepler-307 c,1878,3.64,14.149,1,2013,Tipo Neptuno
Kepler-308 b,4358,5.14,16.019,1,2014,Tipo Neptuno
Kepler-308 c,4358,5.31,16.019,1,2014,Tipo Neptuno
Kepler-309 c,1776,6.85,15.418,1,2014,Tipo Neptuno
Kepler-30 b,2982,11.3,15.726,1,2012,Tipo Neptuno
Kepler-30 d,2982,23.1,15.726,1,2012,Tipo Neptuno
Kepler-310 c,1965,11.4,14.376,1,2014,Tipo Neptuno
Kepler-312 c,2602,10.1,13.01,1,2014,Tipo Neptuno
Kepler-313 b,3521,6.94,14.304,1,2014,Tipo Neptuno
Kepler-313 c,3521,7.13,14.304,1,2014,Tipo Neptuno
Kepler-314 c,877,8.75,12.64,1,2014,Tipo Neptuno
Kepler-315 b,3786,13.7,15.546,1,2014,Tipo Neptuno
Kepler-315 c,3786,16.1,15.546,1,2014,Tipo Neptuno
Kepler-317.83 b,1596,19.9,13.442,1,2014,Tipo Neptuno
Kepler-317.83 c,1596,13.1,13.442,1,2014,Tipo Neptuno
Kepler-319 c,1642,7.41,13.926,1,2014,Tipo Neptuno
Kepler-319 d,1642,5.86,13.926,1,2014,Tipo Neptuno
Kepler-31 b,5430,25.9,15.496,1,2011,Tipo Neptuno
Kepler-321 c,1254,5.99,12.918,1,2014,Tipo Neptuno
Kepler-324 c,1636,10.1,14.222,1,2014,Tipo Neptuno
Kepler-325 b,2685,8.8,15.175,1,2014,Tipo Neptuno
Kepler-325 c,2685,6.99,15.175,1,2014,Tipo Neptuno
Kepler-325 d,2685,8.2,15.175,1,2014,Tipo Neptuno
Kepler-32 c,1056,0.5,16.36,317.83,2011,Tipo Neptuno
Kepler-32 d,1056,7.75,16.36,1,2012,Tipo Neptuno
Kepler-335 b,4172,11.4,14.111,1,2014,Tipo Neptuno
Kepler-335 c,4172,9.64,14.111,1,2014,Tipo Neptuno
Kepler-336 c,2508,5.06,13.677,1,2014,Tipo Neptuno
Kepler-336 d,2508,6.21,13.677,1,2014,Tipo Neptuno
Kepler-338 c,1803,6.08,12.19,1,2014,Tipo Neptuno
Kepler-338 d,1803,9.27,12.19,1,2014,Tipo Neptuno
Kepler-33 d,3944,3.91,14.099,1,2011,Tipo Neptuno
Kepler-33 e,3944,5.57,14.099,1,2011,Tipo Neptuno
Kepler-33 f,3944,9.6,14.099,1,2011,Tipo Neptuno
Kepler-340 b,2638,6.94,12.329,1,2014,Tipo Neptuno
Kepler-340 c,2638,11.3,12.329,1,2014,Tipo Neptuno
Kepler-342 b,2550,5.69,13.2,1,2014,Tipo Neptuno
Kepler-342 d,2550,6.76,13.2,1,2014,Tipo Neptuno
Kepler-343 b,3025,6.39,14.063,1,2014,Tipo Neptuno
Kepler-344 b,3272,7.32,15.539,1,2014,Tipo Neptuno
Kepler-344 c,3272,9.01,15.539,1,2014,Tipo Neptuno
Kepler-346 b,3210,7.56,15.261,1,2014,Tipo Neptuno
Kepler-346 c,3210,9.64,15.261,1,2014,Tipo Neptuno
Kepler-350 c,3121,6.1,13.965,1,2013,Tipo Neptuno
Kepler-351 b,3536,4.8,16.229,1,2014,Tipo Neptuno
Kepler-351 c,3536,11.1,16.229,1,2014,Tipo Neptuno
Kepler-351 d,3536,7.85,16.229,1,2016,Tipo Neptuno
Kepler-355 c,4672,7.8,15.242,1,2014,Tipo Neptuno
Kepler-357 c,2246,7.61,15.735,1,2014,Tipo Neptuno
Kepler-357 d,2246,11.6,15.735,1,2014,Tipo Neptuno
Kepler-358 b,3592,7.85,15.516,1,2014,Tipo Neptuno
Kepler-358 c,3592,8.5,15.516,1,2014,Tipo Neptuno
Kepler-359 b,4708,12.2,15.805,1,2014,Tipo Neptuno
Kepler-359 c,4708,2.9,15.805,1,2014,Tipo Neptuno
Kepler-359 d,4708,2.7,15.805,1,2014,Tipo Neptuno
Kepler-360 c,2858,5.06,15.011,1,2014,Tipo Neptuno
Kepler-361 c,3035,6.9,13.635,1,2014,Tipo Neptuno
Kepler-364 c,2908,5.27,13.754,1,2014,Tipo Neptuno
Kepler-368 b,2515,10.7,12.946,1,2014,Tipo Neptuno
Kepler-368 c,2515,14.3,12.946,1,2014,Tipo Neptuno
Kepler-36 c,1722,7.13,11.941,1,2012,Tipo Neptuno
Kepler-375 c,4041,7.51,15.643,1,2014,Tipo Neptuno
Kepler-379 c,2385,5.86,13.475,1,2014,Tipo Neptuno
Kepler-37 d,209,12.2,9.770.001,1,2013,Tipo Neptuno
Kepler-385 c,4673,13.2,15.76,1,2014,Tipo Neptuno
Kepler-385 d,4673,7.36,15.76,1,2020,Tipo Neptuno
Kepler-391 b,2835,10.3,13.177,1,2014,Tipo Neptuno
Kepler-391 c,2835,12.3,13.177,1,2014,Tipo Neptuno
Kepler-396 c,730,17.9,12.259,1,2013,Tipo Neptuno
Kepler-397 b,3161,6.62,16.357,1,2014,Tipo Neptuno
Kepler-397 c,3161,31.6,16.357,1,2014,Tipo Neptuno
Kepler-401 c,3150,5.27,13.366,1,2014,Tipo Neptuno
Kepler-401 d,3150,5.77,13.366,1,2016,Tipo Neptuno
Kepler-405 c,3474,19.6,16.181,1,2014,Tipo Neptuno
Kepler-410 A b,481,8.44,9.495,1,2013,Tipo Neptuno
Kepler-411 c,501,26.4,12.448,1,2016,Tipo Neptuno
Kepler-411 d,501,15.2,12.448,1,2018,Tipo Neptuno
Kepler-411 e,501,10.8,12.448,1,2018,Tipo Neptuno
Kepler-414 c,1349,29.9,13.378,1,2014,Tipo Neptuno
Kepler-416 c,2253,6.57,14.166,1,2014,Tipo Neptuno
Kepler-417 c,3177,7.7,15.864,1,2014,Tipo Neptuno
Kepler-421 b,1137,16.1,13.611,1,2014,Tipo Neptuno
Kepler-430 b,2993,10.6,13.908,1,2015,Tipo Neptuno
Kepler-436 b,1921,7.9,15.971,1,2015,Tipo Neptuno
Kepler-436 c,1921,6.04,15.971,1,2016,Tipo Neptuno
Kepler-437 b,992,5.22,14.628,1,2015,Tipo Neptuno
Kepler-439 b,2469,5.65,14.654,1,2015,Tipo Neptuno
Kepler-443 b,2617,6.04,16.207,1,2015,Tipo Neptuno
Kepler-445 c,415,6.85,18.19,1,2015,Tipo Neptuno
Kepler-449 c,789,8.07,11.448,1,2015,Tipo Neptuno
Kepler-450 b,1487,19.4,11.991,1,2015,Tipo Neptuno
Kepler-453 b,1445,16,13.672,1,2015,Tipo Neptuno
Kepler-454 b,753,605.338,11.567,1,2015,Tipo Neptuno
Kepler-458 c,5202,16.4,14.027,1,2016,Tipo Neptuno
Kepler-460 c,4156,26.1,13.834,1,2016,Tipo Neptuno
Kepler-461 b,2258,7.18,13.457,1,2016,Tipo Neptuno
Kepler-462 c,1946,6,11.632,1,2020,Tipo Neptuno
